n,t
1,4.330002411734313e-06
1,1.9560029613785446e-06
1,2.373999450355768e-06
1,1.9559956854209304e-06
1,1.9559956854209304e-06
2,4.749002982862294e-06
2,2.3050015443004668e-06
2,4.7489957069046795e-06
2,2.3750035325065255e-06
2,2.373999450355768e-06
3,4.818997695110738e-06
3,4.329995135776699e-06
3,4.679000994656235e-06
3,4.7489957069046795e-06
4,4.818997695110738e-06
4,4.749999789055437e-06
5,4.330999217927456e-06
5,4.818997695110738e-06
6,4.749002982862294e-06
6,4.4000043999403715e-06
7,4.7489957069046795e-06
7,4.679997800849378e-06
8,5.797002813778818e-06
9,6.564994691871107e-06
10,7.613001798745245e-06
11,1.3968005077913404e-05
12,1.2570999388117343e-05
13,1.2431999493855983e-05
14,1.4316996384877712e-05
16,1.5714002074673772e-05
17,1.6342004528269172e-05
19,1.8089005607180297e-05
21,2.339699858566746e-05
23,2.7238995244260877e-05
26,3.9530001231469214e-05
28,3.897200076607987e-05
31,4.00889985030517e-05
34,4.420900222612545e-05
37,4.77010034956038e-05
41,5.3497999033425e-05
45,6.921300519024953e-05
50,7.375199493253604e-05
55,7.954900502227247e-05
60,0.00010839400056283921
66,9.735899948282167e-05
73,0.00010881300113396719
80,0.00011935799557249993
88,0.00015448899648617953
97,0.00018424099835101515
107,0.00018277399794897065
117,0.00019611400057328865
129,0.0002179039947804995
142,0.00024269899586215615
156,0.00027677999605657533
172,0.000347740002325736
189,0.00038119300006655976
208,0.0004268690026947297
229,0.00044991699542151764
252,0.0004937769990647212
277,0.0005656430003000423
304,0.0006271739985095337
335,0.0007397579975076951
368,0.0008590470024500974
405,0.0009322399928350933
446,0.001023593002173584
490,0.0011203920003026724
539,0.001263427002413664
593,0.0014104430010775104
653,0.0015747790021123365
718,0.001826206993428059
790,0.0019135789989377372
869,0.002093837996653747
956,0.002325780995306559
1051,0.0025817499990807846
1156,0.0028422559989849105
1272,0.0031952339995768853
1399,0.003915715002221987
1539,0.0042741400029626675
1693,0.004710228997282684
1862,0.005228031994192861
