n,t
1,4.599000021698885e-06
1,1.2320006135269068e-06
1,1.1230004020035267e-06
1,9.51999936660286e-07
1,8.92000571184326e-07
2,2.444000529067125e-06
2,1.5929999790387228e-06
2,1.503000021330081e-06
2,1.4729994290973991e-06
2,2.4750006559770554e-06
3,2.3239999791258015e-06
3,2.454999957990367e-06
3,2.3640004656044766e-06
3,2.1140003809705377e-06
4,3.155999365844764e-06
4,2.034000317507889e-06
5,4.098000317753758e-06
5,3.59599926014198e-06
6,4.207999154459685e-06
6,4.4779999370803125e-06
7,5.099999725644011e-06
7,5.2400000640773214e-06
8,6.702000064251479e-06
9,6.5930007622228e-06
10,8.054999852902256e-06
11,1.918499947350938e-05
12,1.4878000001772307e-05
13,1.7383000340487342e-05
14,1.8445000023348257e-05
16,2.1359999664127827e-05
17,2.4865999876055866e-05
19,2.8063000172551256e-05
21,3.174899939040188e-05
23,4.2440000470378436e-05
26,4.412199996295385e-05
28,5.750800028181402e-05
31,5.74570003664121e-05
34,6.292800026130863e-05
37,6.776700047339546e-05
41,8.02609993115766e-05
45,0.00010092899992741877
50,0.00011118800011900021
55,0.0001304140005231602
60,0.00013926100018579746
66,0.0001522049997220165
73,0.00016814500031614443
80,0.0002182790003644186
88,0.00023882699952082476
97,0.000267691999397357
107,0.00029213800007710233
117,0.0003207709996786434
129,0.00036207800076226704
142,0.00039186399953905493
156,0.00043905300026381155
172,0.0005789249998997548
189,0.0006377750005412963
208,0.000689071000124386
229,0.0008064210005613859
252,0.0008410059999732766
277,0.0008944060000430909
304,0.0009844539999903645
335,0.001263828000446665
368,0.0013654790000146022
405,0.0014886389999446692
446,0.0016492300001118565
490,0.0018545350003478234
539,0.00199635999979364
593,0.002208988999882422
653,0.0025094220000028145
718,0.0029369320000114385
790,0.0031316369995693094
869,0.003490289000183111
956,0.003805309000199486
1051,0.004204748000120162
1156,0.00464036399989709
1272,0.005204551000133506
1399,0.0063296990001617814
1539,0.006929954000042926
1693,0.007627691000379855
1862,0.008395009000196296
1,5.369999598769937e-06
1,1.0120002116309479e-06
1,9.22000253922306e-07
1,9.22000253922306e-07
1,7.920007192296907e-07
2,3.2460002330481075e-06
2,1.9839999367832206e-06
2,1.8330001694266684e-06
2,1.782999788702e-06
2,1.4830002328380942e-06
3,1.8439995983499102e-06
3,2.2240001271711662e-06
3,2.6950001483783126e-06
3,2.8459999157348648e-06
4,3.4570002753753215e-06
4,3.3760006772354245e-06
5,3.8070002119638957e-06
5,3.6159999581286684e-06
6,4.408000677358359e-06
6,4.2279998524463736e-06
7,5.729999429604504e-06
7,5.1590004659374245e-06
8,6.00099974690238e-06
9,8.505999176122714e-06
10,6.741999641235452e-06
11,1.9746999896597117e-05
12,1.48879998960183e-05
13,1.626999983272981e-05
14,1.820399938878836e-05
16,2.062900057353545e-05
17,2.2342000193020795e-05
19,2.5487999664619565e-05
21,3.404400013096165e-05
23,3.625800036388682e-05
26,4.502400042838417e-05
28,4.5384999793895986e-05
31,5.0784999984898604e-05
34,6.102399947849335e-05
37,6.1885999457445e-05
41,7.487999937438872e-05
45,0.00012382200020510936
50,0.00010593900060484884
55,0.00011426499986555427
60,0.0001243230008185492
66,0.00013819900050293654
73,0.0001974300002984819
80,0.00017730200033838628
88,0.00022676500066154404
97,0.0002652769999258453
107,0.0002675619998626644
117,0.0003166230007991544
129,0.0003262010004618787
142,0.00037948099998175167
156,0.0004084649999640533
172,0.0005366759996832116
189,0.000578153999413189
208,0.0006301600005826913
229,0.0006777300004614517
252,0.0007519989994762
277,0.000850524000270525
304,0.0009279890000470914
335,0.0011204200000065612
368,0.0012665430003835354
405,0.0013836220005032374
446,0.0015254279996952391
490,0.0016957970001385547
539,0.0018709549995037378
593,0.0021163849996810313
653,0.0023831349999454687
718,0.0028156259995739674
790,0.0031648399999539834
869,0.003482213999632222
956,0.003851034999570402
1051,0.004184280000117724
1156,0.004657315999793354
1272,0.005211685000176658
1399,0.0061551219996545115
1539,0.007028017999800795
1693,0.0075745510002889205
1862,0.008339744999830145
1,5.5499995141872205e-06
1,9.609993867343292e-07
1,9.120003596763127e-07
1,8.320002962136641e-07
1,8.820006769383326e-07
2,2.7850001060869545e-06
2,2.525000127207022e-06
2,1.903999873320572e-06
2,1.7129996194853447e-06
2,1.7129996194853447e-06
3,2.1739997464464977e-06
3,2.5649997041909955e-06
3,2.3040001906338148e-06
3,2.6950001483783126e-06
4,3.0350001907208934e-06
4,2.8450003810576163e-06
5,3.2159996408154257e-06
5,3.3360001907567494e-06
6,3.3060005080187693e-06
6,4.307999915909022e-06
7,4.438000360096339e-06
7,5.751000571763143e-06
8,5.4299998737405986e-06
9,5.630000487144571e-06
10,8.6860000010347e-06
11,2.3483999939344358e-05
12,1.624000014999183e-05
13,1.6621000213490333e-05
14,1.7052000657713506e-05
16,1.7362000107823405e-05
17,1.9737000002351124e-05
19,2.4645999474159908e-05
21,3.283099977124948e-05
23,3.855300019495189e-05
26,4.3089999962830916e-05
28,4.505399920162745e-05
31,5.4523000471817795e-05
34,5.516300007002428e-05
37,6.469199979619589e-05
41,7.804699998814613e-05
45,9.42269998631673e-05
50,0.00010364400077378377
55,0.00014264699984778417
60,0.00012785000035364646
66,0.00013818900060869055
73,0.00015571099993394455
80,0.0001971990004676627
88,0.00021985200055496534
97,0.0002489669996066368
107,0.00028104600005463
117,0.0003025169999091304
129,0.00034160999985033413
142,0.00039208500038512284
156,0.00043520500003069174
172,0.0005157659998076269
189,0.0005697480000890209
208,0.0006155330002002302
229,0.0006749049998688861
252,0.0007552349998150021
277,0.0008431900005234638
304,0.0009304129998781718
335,0.0011033670007236651
368,0.001243849999809754
405,0.0013847950003764709
446,0.0015906199996607029
490,0.0017580140001882683
539,0.0018710959993768483
593,0.0020714610000140965
653,0.0023425690005751676
718,0.002788565000628296
790,0.003099306999502005
869,0.0034496429998398526
956,0.003871474000334274
1051,0.004163540999797988
1156,0.004594007000378042
1272,0.005119442000250274
1399,0.006297629000073357
1539,0.007085545999871101
1693,0.007652757999494497
1862,0.008389519000047585
1,6.172000212245621e-06
1,1.1120000635855831e-06
1,8.619999789516442e-07
1,8.610004442743957e-07
1,7.909993655630387e-07
2,2.6349998734076507e-06
2,1.692999830993358e-06
2,2.3139991753851064e-06
2,1.4719998944201507e-06
2,1.9330000213813037e-06
3,2.3040001906338148e-06
3,2.6950001483783126e-06
3,2.124000275216531e-06
3,2.32499951380305e-06
4,3.416000254219398e-06
4,2.734999725362286e-06
5,2.544999915699009e-06
5,3.4360000427113846e-06
6,4.940000508213416e-06
6,3.827000000455882e-06
7,4.978999641025439e-06
7,3.947000550397206e-06
8,4.589000127452891e-06
9,7.503999768232461e-06
10,7.564000043203123e-06
11,1.9295999663881958e-05
12,1.5528999938396737e-05
13,1.6050000340328552e-05
14,1.7872999706014525e-05
16,2.0018000213894993e-05
17,2.0569000298564788e-05
19,2.5618000108806882e-05
21,2.903400036302628e-05
23,3.741999989870237e-05
26,4.245999934937572e-05
28,4.7469000492128544e-05
31,4.905199966742657e-05
34,5.6025000048975926e-05
37,6.16449997323798e-05
41,7.3427000643278e-05
45,0.00010234199999104021
50,0.00010566799937805627
55,0.00011515599999256665
60,0.00012475400035327766
66,0.00013901999955123756
73,0.0001603599994268734
80,0.0001734850002321764
88,0.00022331899981509196
97,0.0002424750000500353
107,0.0002691039999263012
117,0.00029767800060653826
129,0.0003351780005687033
142,0.0003830579998975736
156,0.00041343500015500467
172,0.0005123999999341322
189,0.0005617430006168433
208,0.0006313219992080121
229,0.0006845429998065811
252,0.0007482820001314394
277,0.0008367769996766583
304,0.0009159560004263767
335,0.001081105000594107
368,0.0012544299997898634
405,0.0013798859999951674
446,0.0015554940000583883
490,0.0016997939992506872
539,0.001880291999441397
593,0.0020494489999691723
653,0.0023334420002356637
718,0.0028467729998737923
790,0.0031506029999945895
869,0.0034316199999011587
956,0.003763962000448373
1051,0.004180162000011478
1156,0.004693382999903406
1272,0.005140520999702858
1399,0.006327515000521089
1539,0.006844132999503927
1693,0.007609356000102707
1862,0.00839544999962527
1,7.484000889235176e-06
1,9.919995136442594e-07
1,9.120003596763127e-07
1,8.619999789516442e-07
1,8.620008884463459e-07
2,5.871000212209765e-06
2,2.6349998734076507e-06
2,1.4729994290973991e-06
2,1.4430006558541209e-06
2,1.4119996194494888e-06
3,3.006000042660162e-06
3,1.9829994926112704e-06
3,2.736000169534236e-06
3,2.1130008462932892e-06
4,2.4649998522363603e-06
4,2.834999577316921e-06
5,2.826000127242878e-06
5,4.24799964093836e-06
6,4.689000888902228e-06
6,4.959999387210701e-06
7,4.449000698514283e-06
7,5.6500002756365575e-06
8,5.038999915996101e-06
9,6.541999937326182e-06
10,7.493999873986468e-06
11,2.0007999410154298e-05
12,1.6551000044273678e-05
13,1.5348000488302205e-05
14,1.550900014990475e-05
16,1.9566999981179833e-05
17,2.13999992411118e-05
19,2.2291999812296126e-05
21,3.174999983457383e-05
23,3.700900015246589e-05
26,4.352199994173134e-05
28,7.291700057976414e-05
31,5.3471000683202874e-05
34,5.629499992210185e-05
37,6.231699990166817e-05
41,7.735500003036577e-05
45,9.004900039144559e-05
50,0.00010409499918750953
55,0.00012434299969754647
60,0.0001271880000786041
66,0.0001408140005878522
73,0.00015122300010261824
80,0.0001734549996399437
88,0.00021609499981423141
97,0.000238997999986168
107,0.0002738029997999547
117,0.00029399000050034374
129,0.00034063800012518186
142,0.0003713249998327228
156,0.0004191050002191332
172,0.0005058870001448668
189,0.0005600499998763553
208,0.0006174969994390267
229,0.0007000610003160546
252,0.0007509470005970798
277,0.000831327999549103
304,0.0009490579996054294
335,0.0010839710002983338
368,0.001253489000191621
405,0.0013858869997420697
446,0.0015199779991235118
490,0.0016873120002856012
539,0.0018630399999892688
593,0.002083262999803992
653,0.0024092839994409587
718,0.002862583000023733
790,0.003168195999933232
869,0.0034108300005755154
956,0.003816761000052793
1051,0.004191112000626163
1156,0.004630706000170903
1272,0.005162653000297723
1399,0.0065160289996128995
1539,0.006872826000289933
1693,0.007536410000284377
1862,0.008503221000864869
