n,t
1,4.330000592744909e-06
1,3.842000296572223e-06
1,4.74900116387289e-06
1,4.679000994656235e-06
1,2.8640006348723546e-06
2,1.1802998415078036e-05
2,7.612999979755841e-06
2,7.05399907019455e-06
2,7.542999810539186e-06
2,7.194001227617264e-06
3,8.172000889317133e-06
3,1.05460003396729e-05
3,1.0056999599328265e-05
3,9.149000106845051e-06
4,1.5225999959511682e-05
4,1.2362001143628731e-05
5,1.8786999135045335e-05
5,2.2140000510262325e-05
6,2.0044999473611824e-05
6,1.759999940986745e-05
7,2.6679999791667797e-05
7,4.833000093640294e-05
8,3.0310999136418104e-05
9,3.813299917965196e-05
10,4.064700078743044e-05
11,4.190399886283558e-05
12,5.189200055610854e-05
13,5.189199873711914e-05
14,6.201900032465346e-05
16,6.872400081192609e-05
17,6.942199979675934e-05
19,7.682500108785462e-05
21,8.58349994814489e-05
23,0.00010098999882757198
26,0.0001124440004787175
28,0.00011321300007693935
31,0.0001362610000796849
34,0.00014073000056669116
37,0.00016203100130951498
41,0.0001773269996192539
45,0.00018871100110118277
50,0.00018046900004264899
55,0.0002003740009968169
60,0.00024514200049452484
66,0.0002774090007733321
73,0.00030604399944422767
80,0.00033796100069594104
88,0.0003730909993464593
97,0.00037951699960103724
107,0.0004594149995682528
117,0.00044314200022199657
129,0.00047918000018398743
142,0.0005992370006424608
156,0.0006289899993134895
172,0.0007289320001291344
189,0.0008581380006944528
208,0.0009772880002856255
229,0.0009523540011286968
252,0.0010465699997439515
277,0.0011943539993808372
304,0.0013246070011518896
335,0.0014655470004072413
368,0.0017821380006353138
405,0.001930059999722289
446,0.002022880000367877
490,0.002267185000164318
539,0.002524339000956388
593,0.003009804999237531
653,0.003274503998909495
718,0.003549607999957516
790,0.0039247249987965915
869,0.004406348998600151
956,0.004955719999998109
1051,0.005560266001339187
1156,0.006293806998655782
1272,0.006886549999762792
1399,0.007850078000046778
1539,0.008650877000036417
1693,0.009653447999880882
1862,0.010730538000643719
