n,t
1,6.099999154685065e-06
1,1.5999976312741637e-06
1,1.6999983927235007e-06
1,1.3000026228837669e-06
1,1.2999989849049598e-06
2,4.699999408330768e-06
2,3.9000005926936865e-06
2,3.2999996619764715e-06
2,2.7999994927085936e-06
2,3.0000010156072676e-06
3,4.899997293250635e-06
3,4.599998646881431e-06
3,3.6999990697950125e-06
3,2.6000016077887267e-06
4,3.3999967854470015e-06
4,3.999997716164216e-06
5,4.800000169780105e-06
5,7.099999493220821e-06
6,7.100003131199628e-06
6,6.499998562503606e-06
7,9.999999747378752e-06
7,5.40000110049732e-06
8,7.599999662488699e-06
9,1.049999991664663e-05
10,1.4000001101521775e-05
11,1.3200002285884693e-05
12,1.2500000593718141e-05
13,1.7300000763498247e-05
14,1.6699999832781032e-05
16,2.229999881819822e-05
17,2.9800001357216388e-05
19,3.909999941242859e-05
21,2.7999998565064743e-05
23,3.899999865097925e-05
26,7.720000212430023e-05
28,6.349999966914766e-05
31,7.199999890872277e-05
34,8.890000026440248e-05
37,0.00010310000288882293
41,0.00015050000001792796
45,0.0001387999982398469
50,0.00017099999968195334
55,0.00025779999850783497
60,0.0003741000000445638
66,0.00040919999810284935
73,0.00047990000166464597
80,0.000639899997622706
88,0.0006197000002430286
97,0.0007100999973772559
107,0.0009544999993522651
117,0.0018006999998760875
129,0.00213649999932386
142,0.002364399999351008
156,0.0018975000020873267
172,0.0026743999987957068
189,0.0027501000004122034
208,0.0030324999970616773
229,0.0034627000022737775
252,0.0035504000006767455
277,0.007186499999079388
304,0.00920849999965867
335,0.009926099999574944
368,0.010184899998421315
405,0.009508800001640338
446,0.010735799998656148
490,0.017183799998747418
539,0.024793199998384807
593,0.021087500001158332
653,0.021268899999995483
718,0.03961959999651299
790,0.04111120000015944
869,0.0534975000009581
956,0.06864019999920856
1051,0.07321930000034627
1156,0.10666929999933927
1272,0.13246069999877363
1399,0.1572252000005392
1539,0.15725300000121933
1693,0.2161393999995198
1862,0.2447613000003912
