n,t
1,1.5000005078036338e-06
1,9.00003215065226e-07
1,3.1000017770566046e-06
1,1.2999989849049598e-06
1,1.2999989849049598e-06
2,1.1500000255182385e-05
2,5.800000508315861e-06
2,6.70000008540228e-06
2,5.199999577598646e-06
2,4.999998054699972e-06
3,9.899998985929415e-06
3,8.400002116104588e-06
3,1.219999830937013e-05
3,1.2200001947348937e-05
4,1.3599998055724427e-05
4,2.049999966402538e-05
5,1.759999940986745e-05
5,2.4800003302516416e-05
6,1.8599999748403206e-05
6,2.9099999665049836e-05
7,2.220000169472769e-05
7,5.77000027988106e-05
8,2.729999687289819e-05
9,3.619999915827066e-05
10,3.939999805879779e-05
11,0.0001114999977289699
12,6.290000237640925e-05
13,6.490000305348076e-05
14,7.279999772435986e-05
16,7.429999823216349e-05
17,9.130000034929253e-05
19,0.00010159999874304049
21,0.00010280000060447492
23,0.00014029999874765053
26,0.00016770000001997687
28,0.00015530000018770806
31,0.0001664000010350719
34,0.00019149999934597872
37,0.000221800000872463
41,0.00023409999994328246
45,0.00018229999841423705
50,0.0007063999983074609
55,0.00031369999851449393
60,0.0003442999986873474
66,0.0004121999991184566
73,0.0003867999985232018
80,0.0003440000000409782
88,0.0005912999986321665
97,0.0005547000000660773
107,0.0006609999982174486
117,0.0009748000011313707
129,0.0007721000001765788
142,0.0008229999984905589
156,0.0008903999987524003
172,0.0016205000029003713
189,0.0010970000002998859
208,0.0011603999992075842
229,0.0009902999991027173
252,0.0010839999995368998
277,0.0011983999975200277
304,0.0013732999977946747
335,0.0015533000005234499
368,0.0028554000018630177
405,0.004297299998142989
446,0.004453100002137944
490,0.0035779999998339918
539,0.006257000000914559
593,0.006169100000988692
653,0.004693599999882281
718,0.004751500000566011
790,0.007211399999505375
869,0.004781100000400329
956,0.009001899998111185
1051,0.007023099999059923
1156,0.007577199998195283
1272,0.007289500001206761
1399,0.008682200001203455
1539,0.009767100000317441
1693,0.01235140000062529
1862,0.017457800000556745
2048,0.015607500001351582
2253,0.016502499998750864
2479,0.022716999999829568
2726,0.018030999999609776
2999,0.023696899999777088
3299,0.028251100000488805
3629,0.029393299999355804
3992,0.03362560000095982
4391,0.034120799999072915
4830,0.03633840000111377
5313,0.05213679999724263
5844,0.051407599999947706
6429,0.06290530000114813
7072,0.06990289999885135
7779,0.07210750000012922
8557,0.0773616000005859
9412,0.08958519999941927
10354,0.10669830000188085
11389,0.10902509999868926
12528,0.1325649999998859
