n,t
1,4.748999344883487e-06
1,3.2819998523336835e-06
1,1.396999323333148e-06
1,1.8849996195058338e-06
1,1.955000698217191e-06
2,6.2159997469279915e-06
2,4.749000254378188e-06
2,4.748999344883487e-06
2,3.3520000215503387e-06
2,4.679000085161533e-06
3,6.774000212317333e-06
3,7.123000614228658e-06
3,4.2609999582055025e-06
3,1.4456999451795127e-05
4,6.705000487272628e-06
4,6.076000317989383e-06
5,1.662299928284483e-05
5,6.634999408561271e-06
6,1.0896000276261475e-05
6,9.079999472305644e-06
7,1.250100012839539e-05
7,1.3897999451728538e-05
8,2.2000000171829015e-05
9,1.7250999917450827e-05
10,1.7459999980928842e-05
11,1.927599987538997e-05
12,3.149899930576794e-05
13,2.4373999622184783e-05
14,2.4304999897140078e-05
16,2.9613000151584856e-05
17,3.219699920009589e-05
19,3.436199949646834e-05
21,3.994999951828504e-05
23,4.3791000280180015e-05
26,5.4056999942986295e-05
28,5.622200023935875e-05
31,6.299699998635333e-05
34,7.214600009319838e-05
37,7.717500011494849e-05
41,9.477500043431064e-05
45,0.00010008199933508877
50,0.00011230400014028419
55,0.00012208199950691778
60,0.0001371689995721681
66,0.0001509969997641747
73,0.00018605700006446568
80,0.0001850789994932711
88,0.00021434299924294464
97,0.00025198699950124137
107,0.00026518699996813666
117,0.0002788760002658819
129,0.0003369840005689184
142,0.000347668999893358
156,0.0004168819996266393
172,0.00043748499956564046
189,0.0005000629998903605
208,0.0005594279991782969
229,0.0006028699999660603
252,0.0006701960001009866
277,0.0007519099999626633
304,0.000823498000499967
335,0.0009597579992259853
368,0.0010373510003773845
405,0.0011613199994826573
446,0.0013058909999017487
490,0.001449204999516951
539,0.0016147989999808487
593,0.0018004369994741865
653,0.0020695350003734347
718,0.0023399609999614768
790,0.002542080000239366
869,0.002822633000505448
956,0.0031412480002472876
1051,0.003494784999929834
1156,0.003889736000019184
1272,0.004355787000349665
1399,0.004902642999695672
1539,0.005514243000106944
1693,0.005948794999312668
1862,0.006827956000051927
1,4.749999789055437e-06
1,1.886000063677784e-06
1,9.770001270226203e-07
1,1.4669994925498031e-06
1,1.954999788722489e-06
2,5.726999916078057e-06
2,4.399999852466863e-06
2,4.749999789055437e-06
2,4.3299996832502075e-06
2,3.282999387010932e-06
3,6.6350003180559725e-06
3,6.146000487206038e-06
3,3.841000761894975e-06
3,2.9329994504223578e-06
4,6.6350003180559725e-06
4,4.399999852466863e-06
5,1.5575000361423008e-05
5,7.612999979755841e-06
6,9.637999937694985e-06
6,9.149000106845051e-06
7,1.180300023406744e-05
7,1.7111000488512218e-05
8,1.2849999620812014e-05
9,1.3687999853573274e-05
10,1.6064000192272943e-05
11,1.6971000150078908e-05
12,1.8787000044540036e-05
13,2.095200034091249e-05
14,2.7588000193645712e-05
16,2.7727000087907072e-05
17,2.9054000151518267e-05
19,3.359399943292374e-05
21,3.7644999792973977e-05
23,3.86219999199966e-05
26,4.721200002677506e-05
28,6.369499988068128e-05
31,5.873600002814783e-05
34,6.648900034633698e-05
37,7.333400026254822e-05
41,8.248199992522132e-05
45,9.470499935559928e-05
50,0.00010140999984287191
55,0.00011677499969664495
60,0.00015595600052620284
66,0.00014491999991150806
73,0.0001653139997870312
80,0.0001748829999996815
88,0.0002355739998165518
97,0.00022907900074642384
107,0.00024898399988160236
117,0.00033062900001823436
129,0.0003133769996566116
142,0.00041262200011260575
156,0.00038622200008830987
172,0.0004624190005415585
189,0.00049238100018556
208,0.0005427360001704074
229,0.0006380690001606126
252,0.0006949199996597599
277,0.0007874599996284815
304,0.0008540190001440351
335,0.0009610850001990912
368,0.0010631229997670744
405,0.0011805260000983253
446,0.0013703539998459746
490,0.0014804250004090136
539,0.0016425250005340786
593,0.0018339609996473882
653,0.0020899979999740026
718,0.002299452000443125
790,0.0025468300000284216
869,0.002775489999294223
956,0.003306491999865102
1051,0.003606739999668207
1156,0.003976967999733461
1272,0.004361513999356248
1399,0.004892377000032866
1539,0.005520947999684722
1693,0.006084845999794197
1862,0.0066759820001607295
1,2.305000634805765e-06
1,1.4659999578725547e-06
1,1.396999323333148e-06
1,1.4659999578725547e-06
1,1.9560002328944393e-06
2,4.679000085161533e-06
2,3.3520000215503387e-06
2,2.863999725377653e-06
2,4.818999514100142e-06
2,3.3520000215503387e-06
3,4.819000423594844e-06
3,6.146000487206038e-06
3,6.704999577777926e-06
3,4.189999344816897e-06
4,6.705000487272628e-06
4,4.749000254378188e-06
5,9.56900021265028e-06
5,7.612000445078593e-06
6,9.498000508756377e-06
6,7.683000148972496e-06
7,1.0895000741584226e-05
7,1.1314000403217506e-05
8,1.236200023413403e-05
9,1.3339999895833898e-05
10,1.4317000022856519e-05
11,1.7110999579017516e-05
12,1.9485999473545235e-05
13,2.3537000743090175e-05
14,2.430400036246283e-05
16,4.881899985775817e-05
17,2.95429999823682e-05
19,3.289600044809049e-05
21,3.729599939106265e-05
23,4.183400051260833e-05
26,5.091399998491397e-05
28,5.1543000154197216e-05
31,5.950499962636968e-05
34,6.481200034613721e-05
37,7.137699958548183e-05
41,8.29009995868546e-05
45,0.00010497099992790027
50,0.00010441300037200563
55,0.0001159369994638837
60,0.00012780900033249054
66,0.00014163800005917437
73,0.0001560950004204642
80,0.00017502199989394285
88,0.000198837999960233
97,0.00022398100009013433
107,0.0002748950000750483
117,0.00027957399925071513
129,0.0003114220007773838
142,0.0003490660001261858
156,0.00039034300061757676
172,0.0004493590004130965
189,0.0005210159997659503
208,0.0005541209993680241
229,0.0006134160003057332
252,0.0006817199991928646
277,0.0007812439998815535
304,0.0008571610005674302
335,0.0009631100001570303
368,0.0010989509992214153
405,0.001236748000337684
446,0.0014040180003576097
490,0.0014879669997753808
539,0.0016931600002862979
593,0.0018996110002262867
653,0.0020987289999538916
718,0.0023142580002968316
790,0.002602423000098497
869,0.0028725689999191673
956,0.0032448930005557486
1051,0.00351615599993238
1156,0.004076702000020305
1272,0.004414034999172145
1399,0.004823164000299585
1539,0.005356751000363147
1693,0.006140858999970078
1862,0.007108019999577664
1,4.6800005293334834e-06
1,3.3520000215503387e-06
1,1.954999788722489e-06
1,1.886000063677784e-06
1,6.774000212317333e-06
2,8.590000106778461e-06
2,2.8630001907004043e-06
2,6.705000487272628e-06
2,7.053999979689252e-06
2,3.2819998523336835e-06
3,7.124000148905907e-06
3,4.819000423594844e-06
3,5.658000191033352e-06
3,4.749000254378188e-06
4,9.14899919735035e-06
4,5.726999916078057e-06
5,1.0895000741584226e-05
5,8.451000212517101e-06
6,9.42899987421697e-06
6,8.73099997988902e-06
7,1.0615000064717606e-05
7,1.082499966287287e-05
8,1.320000046689529e-05
9,2.290799966431223e-05
10,2.472400046826806e-05
11,1.9695000446517952e-05
12,2.4304999897140078e-05
13,2.276899977005087e-05
14,2.9054000151518267e-05
16,2.9053000616841018e-05
17,6.439400021918118e-05
19,3.701599962369073e-05
21,4.1555999814590905e-05
23,4.386099953990197e-05
26,5.496500034496421e-05
28,5.580300057772547e-05
31,6.47429997115978e-05
34,7.312399975489825e-05
37,7.905999973445432e-05
41,8.765100028540473e-05
45,0.00010860300062631723
50,0.00010231699980067788
55,0.00011481900037324522
60,0.00012690200037468458
66,0.00014366300001711352
73,0.0001617520001673256
80,0.00018005099991569296
88,0.0001998150000872556
97,0.00022181599979376188
107,0.0002818790007950156
117,0.00027726900043489877
129,0.0003304880001451238
142,0.00034850700012611924
156,0.0004045209998366772
172,0.00043608899977698456
189,0.0005041839995101327
208,0.0005600570002570748
229,0.000609574000009161
252,0.0006806719993619481
277,0.0007773329998599365
304,0.000858418999996502
335,0.0009591990001354134
368,0.0010578849996818462
405,0.0011889770003108424
446,0.0013389259993346059
490,0.001498653000453487
539,0.0016300240004056832
593,0.0018299100001968327
653,0.0020572429993990227
718,0.0023878709998825798
790,0.002574486999947112
869,0.0028773889998774393
956,0.0031300740001825034
1051,0.0035243279999122024
1156,0.003833934000795125
1272,0.0044865300005767494
1399,0.005089329999464098
1539,0.005528560000129801
1693,0.006063265000193496
1862,0.006533994999699644
1,4.679999619838782e-06
1,1.3970002328278497e-06
1,1.4670004020445049e-06
1,1.4659999578725547e-06
1,1.8850005290005356e-06
2,6.146000487206038e-06
2,4.819000423594844e-06
2,2.793000021483749e-06
2,3.772000127355568e-06
2,4.749000254378188e-06
3,6.705000487272628e-06
3,6.285999916144647e-06
3,5.237999175733421e-06
3,6.145999577711336e-06
4,8.86999987415038e-06
4,6.633999873884022e-06
5,1.1453999832156114e-05
5,9.637999937694985e-06
6,1.096500000130618e-05
6,1.012699976854492e-05
7,9.00899976841174e-06
7,1.0476000170456246e-05
8,1.2292000064917374e-05
9,1.459600025555119e-05
10,1.7389999811712187e-05
11,1.89969996426953e-05
12,2.0464000044739805e-05
13,5.20309995408752e-05
14,2.5213000299117994e-05
16,2.9892000384279527e-05
17,3.191699943272397e-05
19,4.106599953956902e-05
21,4.413900023791939e-05
23,5.27299998793751e-05
26,5.440600034489762e-05
28,6.153000049380353e-05
31,6.823500007158145e-05
34,8.073600019997684e-05
37,0.00011356199956935598
41,0.0001005020003503887
45,0.00011202499990758952
50,0.00012082500052201794
55,0.00013625999963551294
60,0.0001376570007778355
66,0.00015504800012422493
73,0.00019178399998054374
80,0.0002018410004893667
88,0.000236063999182079
97,0.0002376689999437076
107,0.00028341600045678206
117,0.00033859100039990153
129,0.0003272760004620068
142,0.0004326660000515403
156,0.00041262200011260575
172,0.000441954999587324
189,0.0005641070001729531
208,0.0005575420000241138
229,0.0006090160004532663
252,0.0006688000003123307
277,0.0007626660008099861
304,0.0008649840001453413
335,0.0010460120001880568
368,0.0010668940003597527
405,0.0012157949995525996
446,0.0013389959995038225
490,0.0014631040003223461
539,0.0016473450004923507
593,0.0018224370005555102
653,0.0020375479998619994
718,0.0022737499994036625
790,0.0025376809999215766
869,0.0028896799994981848
956,0.0032825369999045506
1051,0.0036364919997140532
1156,0.0040218760004790965
1272,0.004335324000749097
1399,0.004737749000014446
1539,0.005238650000137568
1693,0.0064235059999191435
1862,0.006740935000379977
1,4.679000085161533e-06
1,1.9560002328944393e-06
1,2.7939995561609976e-06
1,1.4669994925498031e-06
1,1.4670004020445049e-06
2,4.6099994506221265e-06
2,3.3520000215503387e-06
2,4.260000423528254e-06
2,4.679000085161533e-06
2,5.796000550617464e-06
3,3.701999958138913e-06
3,4.819000423594844e-06
3,3.772000127355568e-06
3,6.285999916144647e-06
4,6.145999577711336e-06
4,5.377999514166731e-06
5,9.009000677906442e-06
5,6.704999577777926e-06
6,9.010000212583691e-06
6,8.381000043300446e-06
7,1.05460003396729e-05
7,1.0615999599394854e-05
8,1.2710999726550654e-05
9,1.5994000023056287e-05
10,1.5155000255617779e-05
11,1.7600000319362152e-05
12,1.8648000150278676e-05
13,2.0602999939001165e-05
14,5.901599979551975e-05
16,2.7097999918623827e-05
17,3.0031000278540887e-05
19,3.2406000173068605e-05
21,3.757500053325202e-05
23,3.9878999814391136e-05
26,4.756199996336363e-05
28,5.489499926625285e-05
31,5.810799939354183e-05
34,6.523100000777049e-05
37,7.389199981844286e-05
41,9.735900039231637e-05
45,0.00011579700003494509
50,0.00012347899973974563
55,0.00013430499984679045
60,0.00014945999919291353
66,0.00016272999982902547
73,0.0001721580001685652
80,0.00018689500029722694
88,0.00021699700027966173
97,0.00026246400011586957
107,0.000290330000098038
117,0.0002890719997594715
129,0.00032112999997480074
142,0.0003931360006390605
156,0.0003953710001951549
172,0.00045669199971598573
189,0.000495382999361027
208,0.0005538410005101468
229,0.0006301769999481621
252,0.0007026029998087324
277,0.000823567999759689
304,0.0008728060001885751
335,0.0010048760004792712
368,0.0010921769999185926
405,0.0012820760002796305
446,0.0013793640000585583
490,0.0014905509997333866
539,0.0016571920004935237
593,0.0018609890003062901
653,0.0020420170003490057
718,0.00233339500027796
790,0.0026246329998684814
869,0.0028507090000857715
956,0.0030850960001771455
1051,0.003556803999344993
1156,0.004081031000168878
1272,0.004446022000593075
1399,0.004812827999558067
1539,0.005504255999767338
1693,0.005805620999126404
1862,0.007104806999450375
1,3.2830002965056337e-06
1,3.2819998523336835e-06
1,1.9560002328944393e-06
1,1.886000063677784e-06
1,2.3749998945277184e-06
2,9.497999599261675e-06
2,5.168000825506169e-06
2,4.749000254378188e-06
2,4.749000254378188e-06
2,3.2130001272889785e-06
3,5.727000825572759e-06
3,6.285999916144647e-06
3,6.704999577777926e-06
3,6.216000656422693e-06
4,6.076000317989383e-06
4,5.8670002545113675e-06
5,8.101000275928527e-06
5,7.19399940862786e-06
6,1.8926999473478645e-05
6,1.6134000361489598e-05
7,1.3339999895833898e-05
7,1.6762000086600892e-05
8,1.2919999790028669e-05
9,2.137100000254577e-05
10,1.7948999811778776e-05
11,1.8228999579150695e-05
12,2.053400021395646e-05
13,2.234899966424564e-05
14,2.9611999707412906e-05
16,3.575899972929619e-05
17,6.718799977534218e-05
19,3.575899972929619e-05
21,4.819100013264688e-05
23,5.20310004503699e-05
26,5.852699996466981e-05
28,5.692099966836395e-05
31,8.192400036932668e-05
34,7.850200017855968e-05
37,8.150400026352145e-05
41,0.00010846300028788392
45,0.00011202499990758952
50,0.00010993099931511097
55,0.00011907899988727877
60,0.00014247599938244093
66,0.00016992400014714804
73,0.00016782900001999224
80,0.0002009330000873888
88,0.0002278219999425346
97,0.0002363419998800964
107,0.00026337100007367553
117,0.0003082789999098168
129,0.0003237829996578512
142,0.00034683200010476867
156,0.0003929270005755825
172,0.0004971299995304435
189,0.0005076059997008997
208,0.0005542600001717801
229,0.0006322720000753179
252,0.0006951989998924546
277,0.0007752379997327807
304,0.0008577899998272187
335,0.0009492820008745184
368,0.0010874970002987538
405,0.0011729829993782914
446,0.0013331290001588059
490,0.0014815410004302976
539,0.0017148110000562156
593,0.0019273390007583657
653,0.002094188000228314
718,0.0023007790005067363
790,0.002507439000510203
869,0.002792809999846213
956,0.0030934760006857687
1051,0.00355924799987406
1156,0.003927311000552436
1272,0.004349641000771953
1399,0.005043164999733563
1539,0.005395791999944777
1693,0.005966744000033941
1862,0.006924336999873049
1,5.796000550617464e-06
1,1.886000063677784e-06
1,1.8859991541830823e-06
1,1.886000063677784e-06
1,1.8849996195058338e-06
2,1.1453999832156114e-05
2,4.749999789055437e-06
2,4.749000254378188e-06
2,4.819000423594844e-06
2,4.679000085161533e-06
3,6.705000487272628e-06
3,4.6099994506221265e-06
3,4.819000423594844e-06
3,4.749000254378188e-06
4,6.354999641189352e-06
4,6.7040000431006774e-06
5,9.98799987428356e-06
5,8.171000445145182e-06
6,9.428000339539722e-06
6,9.98799987428356e-06
7,1.1453999832156114e-05
7,1.0896000276261475e-05
8,1.375900046696188e-05
9,1.5644000086467713e-05
10,4.6165000640030485e-05
