n,t
1,4.819000423594844e-06
1,4.750000698550139e-06
1,4.749000254378188e-06
1,2.4439996195724234e-06
1,1.396999323333148e-06
2,3.421999281272292e-06
2,4.749000254378188e-06
2,8.03199964138912e-06
2,4.819000423594844e-06
2,3.352999556227587e-06
3,4.819000423594844e-06
3,5.726999916078057e-06
3,4.679999619838782e-06
3,3.353000465722289e-06
4,4.6800005293334834e-06
4,4.819000423594844e-06
5,6.703999133605976e-06
5,5.797000085294712e-06
6,6.634999408561271e-06
6,5.726999916078057e-06
7,7.053999979689252e-06
7,8.17199997982243e-06
8,7.264000487339217e-06
9,1.0616000508889556e-05
10,9.637999937694985e-06
11,1.1035000170522835e-05
12,1.4666999959445093e-05
13,1.2851000064983964e-05
14,1.6832000255817547e-05
16,2.6400000024295878e-05
17,1.6691999917384237e-05
19,2.67489995167125e-05
21,2.8634999580390286e-05
23,3.0729999707546085e-05
26,3.7644999792973977e-05
28,4.49780000053579e-05
31,4.944800002704142e-05
34,6.977099928917596e-05
37,6.579000000783708e-05
41,7.878100041125435e-05
45,0.00010301599922968308
50,0.00012906599931739038
55,0.00016203199993469752
60,0.00016538399995624786
66,0.00023801799943612423
73,0.0002523359999031527
80,0.0003190340003129677
88,0.0003993520003859885
97,0.0004759679995913757
107,0.000558660000024247
117,0.0006926149999344489
129,0.0007533079997301684
142,0.0009796630001801532
156,0.0011397389998819563
172,0.0012924819993713754
189,0.0015520819997618673
208,0.0020727480005007237
229,0.002330601000721799
252,0.002919852000559331
277,0.00366065699927276
304,0.004472282000278938
335,0.005406408999988344
368,0.006520724999973027
405,0.007595582000249124
446,0.01017237300038687
490,0.012498295000114013
539,0.01517118800074968
593,0.019222537000132434
653,0.022688825999466644
718,0.02748209899982612
790,0.035858645000189426
869,0.04154218299936474
956,0.052324059999591555
1051,0.06189901200013992
1156,0.07726868900044792
1272,0.09194819500044105
1399,0.11194897200039122
1539,0.13592706800045562
1693,0.17115434699917387
1862,0.2072777599996698
1,6.285999916144647e-06
1,4.259999514033552e-06
1,2.3749998945277184e-06
1,1.4669994925498031e-06
1,2.4450000637443736e-06
2,4.259999514033552e-06
2,3.352999556227587e-06
2,4.679000085161533e-06
2,3.353000465722289e-06
2,4.748999344883487e-06
3,4.749999789055437e-06
3,4.749999789055437e-06
3,4.260000423528254e-06
3,4.749000254378188e-06
4,3.3520000215503387e-06
4,5.1679999160114676e-06
5,6.216000656422693e-06
5,5.797000085294712e-06
6,1.5435000022989698e-05
6,6.634999408561271e-06
7,1.6132999917317647e-05
7,1.6341999980795663e-05
8,1.4387000192073174e-05
