n,t
1,4.749999789055437e-06
1,2.8630001907004043e-06
1,4.819000423594844e-06
1,2.793000021483749e-06
1,4.679000085161533e-06
2,6.6350003180559725e-06
2,6.146000487206038e-06
2,4.819000423594844e-06
2,4.330999217927456e-06
2,3.2819998523336835e-06
3,4.749000254378188e-06
3,3.3520000215503387e-06
3,4.748999344883487e-06
3,6.145999577711336e-06
4,6.076000317989383e-06
4,6.565000148839317e-06
5,4.818999514100142e-06
5,5.726999916078057e-06
6,7.681999704800546e-06
6,5.726999916078057e-06
7,1.1314000403217506e-05
7,9.218999366567004e-06
8,3.666600059659686e-05
9,1.2990999493922573e-05
10,1.1314000403217506e-05
11,1.194300057250075e-05
12,1.3410000065050554e-05
13,1.7739000213623513e-05
14,1.4805999853706453e-05
16,1.787899964256212e-05
17,2.4793000193312764e-05
19,2.2487999558507e-05
21,2.8565000320668332e-05
23,4.2534000385785475e-05
26,4.0578000152891036e-05
28,4.728199928649701e-05
31,7.947999984025955e-05
34,5.9155999224458355e-05
37,8.932699984143255e-05
41,9.519299965177197e-05
45,0.00013772700003755745
50,0.00014038100016477983
55,0.00020079400019312743
60,0.00021273599941196153
66,0.00023941599920362933
73,0.00025994899988290854
80,0.000299968000035733
88,0.0004342720003478462
97,0.00042910499996651197
107,0.0005476940004882636
117,0.000622214999566495
129,0.000845986000058474
142,0.0009610150000298745
156,0.0012142589994255104
172,0.0014400559994101059
189,0.0016272299999400275
208,0.002171084000110568
229,0.002362378999350767
252,0.0027952549999099574
277,0.003753056999812543
304,0.00432037699920329
335,0.005137938999723701
368,0.006607817000258365
405,0.00857831699977396
446,0.009950277999450918
490,0.014352230000440613
539,0.015236000000186323
593,0.01871164800013503
653,0.02355157500005589
718,0.028027559000292968
790,0.03520988899981603
869,0.0472652519993062
956,0.05696214500039787
1051,0.06415998100055731
1156,0.08307235399934143
1272,0.09403917000054207
1399,0.11679581299995334
1539,0.14365751200057275
1693,0.173037127000498
1862,0.1980384660000709
1,6.2159997469279915e-06
1,4.819000423594844e-06
1,4.6800005293334834e-06
1,1.8859991541830823e-06
1,2.4439996195724234e-06
2,4.399999852466863e-06
2,4.749000254378188e-06
2,4.260000423528254e-06
2,4.2609999582055025e-06
2,4.259999514033552e-06
3,4.749000254378188e-06
3,4.191000698483549e-06
3,4.818999514100142e-06
3,8.031000106711872e-06
4,6.145999577711336e-06
4,4.748999344883487e-06
5,6.704999577777926e-06
5,6.145999577711336e-06
6,7.053999979689252e-06
6,6.6350003180559725e-06
7,7.751999874017201e-06
7,8.032000550883822e-06
8,9.00899976841174e-06
9,1.236200023413403e-05
10,1.0615000064717606e-05
11,9.150000551017001e-06
12,1.3898999895900488e-05
13,1.4107999959378503e-05
14,1.2292000064917374e-05
16,2.444500023557339e-05
17,1.8087999706040137e-05
19,2.3257000066223554e-05
21,3.3942999834835064e-05
23,2.6887999410973862e-05
26,4.944700049236417e-05
28,4.616499973053578e-05
31,5.203199998504715e-05
34,5.901599979551975e-05
37,8.744099977775477e-05
41,8.101599996734876e-05
45,8.422799965046579e-05
50,0.00011454000014055055
55,0.0001749520006342209
60,0.00018591699972603237
66,0.0002199300006395788
73,0.0002325710001969128
80,0.00027817800037155394
88,0.00038545400002476526
97,0.0004308499992475845
107,0.0005365200004234794
117,0.0006106220007495722
129,0.0007747489999019308
142,0.0009156879996226053
156,0.0010932249997495092
172,0.0014089770002101432
189,0.0015714970004410134
208,0.0019295729998702882
229,0.002222766999693704
252,0.0028175349998491583
277,0.003322765000120853
304,0.0043026379998991615
335,0.005698974000551971
368,0.006596851999347564
405,0.00850421599989204
446,0.010601547999613103
490,0.012691056000221579
539,0.015684799999689858
593,0.01887291200000618
653,0.023029582000162918
718,0.027382156000385294
790,0.03520674600076745
869,0.041489661999548844
956,0.05255719000069803
1051,0.06568894499923772
1156,0.0762726829998428
1272,0.09287212399976852
1399,0.11484982699948887
1539,0.1386273380003331
1693,0.17051662800076883
1862,0.20750278900050034
1,6.145999577711336e-06
1,3.701999958138913e-06
1,2.37500080402242e-06
1,1.8159998944611289e-06
1,2.3049997253110632e-06
2,4.819000423594844e-06
2,4.749000254378188e-06
2,4.3299996832502075e-06
2,3.3520000215503387e-06
2,4.400000761961564e-06
3,5.726999916078057e-06
3,4.260000423528254e-06
3,3.7710005926783197e-06
3,3.2830002965056337e-06
4,6.146000487206038e-06
4,5.797000085294712e-06
5,6.5649992393446155e-06
5,5.307999344950076e-06
6,7.263000043167267e-06
6,8.17199997982243e-06
7,8.03199964138912e-06
7,6.216000656422693e-06
8,7.472999641322531e-06
9,1.0336000741517637e-05
10,8.381000043300446e-06
11,1.0755999937828165e-05
12,1.4246999853639863e-05
13,1.3968000530439895e-05
14,1.3269999726617243e-05
16,1.7250000382773578e-05
17,1.746099951560609e-05
19,2.2278999495028984e-05
21,2.7727000087907072e-05
23,3.534000006766291e-05
26,4.036800055473577e-05
28,3.289500000391854e-05
31,5.056500049249735e-05
34,7.431100038957084e-05
37,6.830500024079811e-05
41,8.373899981961586e-05
45,9.582300026522717e-05
50,0.0001215940001202398
55,0.0001638470002944814
60,0.00015232300029310863
66,0.00022956799966777908
73,0.0002433969993944629
80,0.0003736499993465259
88,0.0003633839996837196
97,0.0004399999997986015
107,0.0005123559994899551
117,0.0007116119995771442
129,0.0007285829997272231
142,0.0009203680001519388
156,0.001070736000656325
172,0.0014469699999608565
189,0.0016311419994963217
208,0.0020439029995031888
229,0.0022173190000103205
252,0.003157940000164672
277,0.0037179970004217466
304,0.004398529999889433
335,0.005547697000110929
368,0.006526870999550738
405,0.008035091999772703
446,0.009826798000176495
490,0.01269384999977774
539,0.015106235000530432
593,0.01849074100027792
653,0.023235753000335535
