n,t
1,4.748999344883487e-06
1,3.2819998523336835e-06
1,1.396999323333148e-06
1,1.8849996195058338e-06
1,1.955000698217191e-06
2,6.2159997469279915e-06
2,4.749000254378188e-06
2,4.748999344883487e-06
2,3.3520000215503387e-06
2,4.679000085161533e-06
3,6.774000212317333e-06
3,7.123000614228658e-06
3,4.2609999582055025e-06
3,1.4456999451795127e-05
4,6.705000487272628e-06
4,6.076000317989383e-06
5,1.662299928284483e-05
5,6.634999408561271e-06
6,1.0896000276261475e-05
6,9.079999472305644e-06
7,1.250100012839539e-05
7,1.3897999451728538e-05
8,2.2000000171829015e-05
9,1.7250999917450827e-05
10,1.7459999980928842e-05
11,1.927599987538997e-05
12,3.149899930576794e-05
13,2.4373999622184783e-05
14,2.4304999897140078e-05
16,2.9613000151584856e-05
17,3.219699920009589e-05
19,3.436199949646834e-05
21,3.994999951828504e-05
23,4.3791000280180015e-05
26,5.4056999942986295e-05
28,5.622200023935875e-05
31,6.299699998635333e-05
34,7.214600009319838e-05
37,7.717500011494849e-05
41,9.477500043431064e-05
45,0.00010008199933508877
50,0.00011230400014028419
55,0.00012208199950691778
60,0.0001371689995721681
66,0.0001509969997641747
73,0.00018605700006446568
80,0.0001850789994932711
88,0.00021434299924294464
97,0.00025198699950124137
107,0.00026518699996813666
117,0.0002788760002658819
129,0.0003369840005689184
142,0.000347668999893358
156,0.0004168819996266393
172,0.00043748499956564046
189,0.0005000629998903605
208,0.0005594279991782969
229,0.0006028699999660603
252,0.0006701960001009866
277,0.0007519099999626633
304,0.000823498000499967
335,0.0009597579992259853
368,0.0010373510003773845
405,0.0011613199994826573
446,0.0013058909999017487
490,0.001449204999516951
539,0.0016147989999808487
593,0.0018004369994741865
653,0.0020695350003734347
718,0.0023399609999614768
790,0.002542080000239366
869,0.002822633000505448
956,0.0031412480002472876
1051,0.003494784999929834
1156,0.003889736000019184
1272,0.004355787000349665
1399,0.004902642999695672
1539,0.005514243000106944
1693,0.005948794999312668
1862,0.006827956000051927
