n,t
1,4.260000423528254e-06
1,2.373999450355768e-06
1,4.608999006450176e-06
1,4.399997123982757e-06
1,3.3519972930662334e-06
2,6.14600139670074e-06
2,4.330999217927456e-06
2,4.749002982862294e-06
2,4.818997695110738e-06
2,4.679000994656235e-06
3,6.285998097155243e-06
3,4.888999683316797e-06
3,6.2850012909621e-06
3,6.845002644695342e-06
4,7.613001798745245e-06
4,7.683003786951303e-06
5,1.089499710360542e-05
5,7.612004992552102e-06
6,7.613001798745245e-06
6,9.35800198931247e-06
7,1.0964999091811478e-05
7,1.0964999091811478e-05
8,1.2432006769813597e-05
9,1.5225996321532875e-05
10,1.2291995517443866e-05
11,1.732099917717278e-05
12,1.8997001461684704e-05
13,2.2838001314084977e-05
14,2.3466003767680377e-05
16,2.5212000764440745e-05
17,2.7378002414479852e-05
19,3.4292002965230495e-05
21,3.820400161202997e-05
23,5.384800169849768e-05
26,6.0552003560587764e-05
28,8.820899529382586e-05
31,8.716100273886696e-05
34,9.107300138566643e-05
37,0.00010839400056283921
41,0.00012187300308141857
45,0.00014729500253451988
50,0.00015839999832678586
55,0.00017704800120554864
60,0.00018256499606650323
66,0.00018598799942992628
73,0.0002038669990724884
80,0.00022230399918043986
88,0.00023292100377148017
97,0.0002750349958660081
107,0.0003015750044141896
117,0.00032692700187908486
129,0.0003806349996011704
142,0.00040032999822869897
156,0.0004825330033781938
172,0.0005367999983718619
189,0.0005388249992392957
208,0.0006040559965185821
229,0.0007063739976729266
252,0.000775865999457892
277,0.0008598850035923533
304,0.0009183420042973012
335,0.0011324750012136064
368,0.0012076940038241446
405,0.0015590659968438558
446,0.0015496370033361018
490,0.0017325510052614845
539,0.0018677629996091127
593,0.002159142000891734
653,0.00297076599963475
718,0.0029867600023862906
790,0.003081954004301224
869,0.0035352229970158078
956,0.003949800004193094
1051,0.004304314003093168
1156,0.0047810499963816255
1272,0.005596306997176725
1399,0.006003271999361459
1539,0.00690429299720563
1693,0.0076770159939769655
1862,0.008806837002339307
1,6.77400385029614e-06
1,3.840999852400273e-06
1,3.7709978641942143e-06
1,4.330002411734313e-06
